_id,idx,vervar,var,turvar,tahun,turtahun,nilai
1,0,Amerika Serikat,Neraca Perdagangan beberapa Negara,Ekspor,2000,,781125
2,1,Amerika Serikat,Neraca Perdagangan beberapa Negara,Ekspor,2001,,729100
3,2,Amerika Serikat,Neraca Perdagangan beberapa Negara,Ekspor,2002,,693103
4,3,Amerika Serikat,Neraca Perdagangan beberapa Negara,Ekspor,2003,,724771
5,4,Amerika Serikat,Neraca Perdagangan beberapa Negara,Ekspor,2004,,818520
6,5,Amerika Serikat,Neraca Perdagangan beberapa Negara,Ekspor,2005,,907158
7,6,Amerika Serikat,Neraca Perdagangan beberapa Negara,Ekspor,2006,,1038270
8,7,Amerika Serikat,Neraca Perdagangan beberapa Negara,Ekspor,2007,,1162980
9,8,Amerika Serikat,Neraca Perdagangan beberapa Negara,Ekspor,2008,,1301110
10,9,Amerika Serikat,Neraca Perdagangan beberapa Negara,Ekspor,2009,,1056750
11,10,Amerika Serikat,Neraca Perdagangan beberapa Negara,Ekspor,2010,,1278490
12,11,Amerika Serikat,Neraca Perdagangan beberapa Negara,Ekspor,2011,,1480290
13,12,Amerika Serikat,Neraca Perdagangan beberapa Negara,Ekspor,2012,,1545710
14,13,Amerika Serikat,Neraca Perdagangan beberapa Negara,Ekspor,2013,,1579050
15,14,Amerika Serikat,Neraca Perdagangan beberapa Negara,Ekspor,2014,,1623410
16,15,Amerika Serikat,Neraca Perdagangan beberapa Negara,Impor,2000,,1259300
17,16,Amerika Serikat,Neraca Perdagangan beberapa Negara,Impor,2001,,1179180
18,17,Amerika Serikat,Neraca Perdagangan beberapa Negara,Impor,2002,,1200230
19,18,Amerika Serikat,Neraca Perdagangan beberapa Negara,Impor,2003,,1303050
20,19,Amerika Serikat,Neraca Perdagangan beberapa Negara,Impor,2004,,1525680
21,20,Amerika Serikat,Neraca Perdagangan beberapa Negara,Impor,2005,,1735060
22,21,Amerika Serikat,Neraca Perdagangan beberapa Negara,Impor,2006,,1918080
23,22,Amerika Serikat,Neraca Perdagangan beberapa Negara,Impor,2007,,2020400
24,23,Amerika Serikat,Neraca Perdagangan beberapa Negara,Impor,2008,,2169490
25,24,Amerika Serikat,Neraca Perdagangan beberapa Negara,Impor,2009,,1605300
